id_venta,id_producto,id_cliente,cantidad,fecha,valor_total_venta
V006264,P0294,C0049,8,2021-11-29,756.0
V004961,P0158,C0245,1,2024-01-02,11.09
V002509,P0544,C0249,6,2022-10-21,481.32
V007899,P0455,C0031,1,2022-02-26,85.78
V001696,P0001,C0152,7,2023-03-30,412.37
V005323,P0351,C0228,7,2024-05-14,21.209999999999997
V001626,P0426,C0053,2,2020-08-09,111.26
V005778,P0288,C0285,7,2021-01-09,97.93
V002882,P0257,C0173,4,2023-06-01,260.52
V005733,P0441,C0079,6,2021-03-17,543.48
V007575,P0292,C0167,1,2022-02-08,39.12
V006792,P0046,C0004,8,2021-03-24,61.68
V005410,P0010,C0035,1,2020-08-04,32.4
V000900,P0505,C0004,7,2021-03-21,66.5
V003369,P0378,C0248,7,2023-10-01,172.26999999999998
V007188,P0560,C0099,2,2023-02-07,69.3
V004345,P0154,C0212,10,2022-06-22,344.90000000000003
V003728,P0426,C0015,8,2021-12-08,445.04
V007191,P0323,C0226,10,2020-05-02,636.1999999999999
V000215,P0137,C0216,6,2023-08-27,202.62
V006402,P0198,C0169,9,2023-01-27,20.79
V001281,P0024,C0034,6,2023-10-13,513.42
V007186,P0321,C0300,7,2020-09-12,36.47
V004719,P0594,C0137,4,2021-12-02,130.96
V002356,P0592,C0058,5,2023-10-29,428.29999999999995
V003244,P0587,C0210,2,2023-05-27,75.76
V004584,P0077,C0227,9,2024-03-07,11.97
V003135,P0364,C0185,3,2022-05-12,89.25
V006793,P0386,C0054,2,2021-06-11,68.02
V000600,P0124,C0134,5,2023-05-20,303.15000000000003
V000300,P0249,C0131,3,2021-01-14,25.47
V003964,P0375,C0247,7,2023-11-04,351.89000000000004
V003748,P0434,C0070,9,2024-03-12,634.68
V001608,P0202,C0064,6,2022-11-20,467.46
V006082,P0576,C0278,7,2020-01-25,334.74
V000773,P0261,C0166,4,2021-01-05,286.24
V006168,P0547,C0086,3,2021-06-29,284.34000000000003
V004862,P0057,C0057,5,2020-02-01,371.55
V007804,P0181,C0116,3,2021-02-20,162.69
V007011,P0313,C0034,7,2022-04-05,615.65
V001696,P0441,C0152,4,2023-03-30,362.32
V002907,P0206,C0109,6,2020-11-27,115.19999999999999
V004749,P0432,C0017,8,2022-06-14,483.28
V006387,P0085,C0137,7,2020-11-14,514.85
V005633,P0521,C0145,7,2021-03-19,142.17
V003979,P0173,C0190,3,2022-06-04,176.73
V002244,P0201,C0227,8,2022-05-22,25.44
V001582,P0262,C0206,9,2024-01-29,523.26
V000598,P0249,C0166,7,2020-03-21,59.43
V001666,P0349,C0152,5,2022-08-29,145.0
V005451,P0326,C0213,5,2022-05-03,45.25
V001292,P0083,C0210,10,2021-04-30,495.4
V000697,P0264,C0022,1,2024-02-27,60.45
V006200,P0478,C0232,10,2023-05-06,854.5
V005290,P0261,C0070,4,2021-03-30,286.24
V000411,P0311,C0061,6,2023-11-09,313.38
V005982,P0406,C0026,5,2021-12-29,478.75
V002547,P0188,C0073,3,2024-06-26,6.63
V003285,P0450,C0142,9,2020-03-22,540.1800000000001
V006021,P0352,C0022,6,2021-03-19,287.15999999999997
V007113,P0082,C0163,7,2022-11-06,247.24
V000693,P0184,C0074,3,2020-11-28,7.83
V002151,P0254,C0058,7,2022-04-10,508.96999999999997
V004082,P0583,C0248,5,2022-08-14,144.9
V006030,P0295,C0270,2,2020-01-25,114.38
V004075,P0418,C0294,3,2023-04-15,100.68
V006954,P0161,C0082,5,2020-07-19,106.55
V002872,P0461,C0119,5,2022-04-16,208.9
V003986,P0438,C0119,6,2022-12-16,137.22
V003462,P0044,C0129,9,2021-08-14,96.39000000000001
V000592,P0210,C0067,6,2020-02-23,402.29999999999995
V007618,P0513,C0213,5,2020-10-12,118.85
V000978,P0534,C0173,3,2020-11-08,236.85000000000002
V002982,P0046,C0161,7,2023-11-02,53.97
V004837,P0292,C0173,9,2023-12-11,352.08
V004874,P0541,C0159,5,2022-11-27,126.44999999999999
V001590,P0194,C0283,8,2023-12-12,347.04
V000829,P0161,C0149,2,2020-02-16,42.62
V005454,P0574,C0226,10,2024-03-24,899.0
V000146,P0558,C0088,4,2023-08-30,134.16
V000254,P0435,C0262,1,2024-02-26,78.67
V003904,P0126,C0119,8,2020-11-30,484.88
V002765,P0311,C0075,5,2020-11-17,261.15
V004738,P0439,C0056,2,2021-03-03,66.36
V005874,P0161,C0092,7,2020-11-04,149.17
V003943,P0181,C0011,2,2024-02-06,108.46
V006226,P0315,C0262,10,2023-09-29,124.5
V005592,P0360,C0137,3,2023-10-06,179.91
V005744,P0430,C0144,3,2021-07-27,168.45
V006794,P0018,C0281,7,2023-04-17,413.28
V005101,P0158,C0035,6,2020-05-05,66.53999999999999
V000628,P0373,C0240,2,2022-06-19,191.62
V007574,P0147,C0057,7,2021-02-14,411.53
V005810,P0236,C0148,5,2020-05-12,376.75
V004636,P0443,C0089,2,2020-02-12,199.44
V005534,P0475,C0031,8,2020-09-11,580.88
V003792,P0021,C0204,3,2020-02-09,105.35999999999999
V001634,P0234,C0230,8,2020-09-14,543.6
V003839,P0437,C0046,6,2021-06-20,120.06
V002993,P0091,C0278,8,2022-06-10,573.36
V000214,P0030,C0001,9,2021-02-03,375.93
V007161,P0145,C0081,3,2023-07-19,86.85
V007211,P0498,C0282,1,2024-06-15,15.86
V006074,P0579,C0058,7,2022-07-06,665.4200000000001
V003133,P0157,C0161,3,2022-07-14,154.89000000000001
V006816,P0539,C0283,5,2022-01-28,85.25
V005289,P0456,C0005,4,2022-03-18,175.2
V007539,P0303,C0197,5,2021-07-30,362.84999999999997
V007418,P0230,C0192,4,2024-03-15,248.88
V002273,P0360,C0262,1,2020-10-11,59.97
V003067,P0588,C0159,1,2021-11-01,23.29
V004092,P0228,C0007,6,2023-04-27,62.519999999999996
V000919,P0351,C0270,5,2023-03-18,15.149999999999999
V005919,P0257,C0132,7,2021-05-27,455.90999999999997
V004041,P0477,C0154,4,2022-02-01,164.0
V002734,P0261,C0226,2,2024-02-27,143.12
V002874,P0449,C0075,1,2021-11-21,42.11
V002259,P0015,C0070,5,2021-07-09,27.3
V004266,P0158,C0269,4,2020-04-07,44.36
V005938,P0138,C0037,7,2023-12-06,293.02
V002463,P0150,C0119,6,2021-08-06,587.52
V003741,P0138,C0047,2,2021-06-11,83.72
V002067,P0121,C0065,4,2021-03-29,59.24
V002954,P0352,C0053,2,2020-04-23,95.72
V002223,P0208,C0061,5,2023-09-06,490.45000000000005
V003442,P0137,C0060,7,2022-06-11,236.39000000000001
V006461,P0018,C0026,2,2020-11-29,118.08
V006481,P0406,C0279,1,2021-06-22,95.75
V005881,P0421,C0230,2,2024-06-23,20.76
V003836,P0169,C0113,2,2024-01-19,14.26
V002299,P0121,C0245,4,2022-02-23,59.24
V001955,P0090,C0181,8,2021-03-23,538.88
V007081,P0411,C0277,6,2023-07-31,433.62
V002263,P0378,C0088,3,2020-11-20,73.83
V002602,P0457,C0184,8,2024-03-06,34.48
V003695,P0266,C0125,5,2023-09-16,241.29999999999998
V005763,P0010,C0106,1,2020-05-12,32.4
V005366,P0060,C0222,9,2020-05-13,320.58
V002768,P0153,C0043,3,2021-03-19,157.89000000000001
V001967,P0110,C0186,7,2021-02-02,198.45000000000002
V003634,P0406,C0060,6,2022-07-05,574.5
V005729,P0003,C0049,9,2020-02-18,455.21999999999997
V006843,P0247,C0104,6,2024-05-16,319.20000000000005
V004148,P0282,C0297,10,2022-03-05,117.0
V003083,P0403,C0244,6,2023-04-25,393.96
V007468,P0091,C0178,9,2023-12-03,645.03
V006053,P0432,C0232,8,2020-10-07,483.28
V003395,P0139,C0150,6,2021-12-20,475.02
V003065,P0193,C0089,3,2020-11-15,123.96000000000001
V005027,P0356,C0248,4,2020-06-17,136.64
V002359,P0188,C0241,2,2020-07-21,4.42
V000025,P0150,C0075,7,2023-09-02,685.44
V000763,P0398,C0069,4,2022-10-08,113.76
V007682,P0524,C0247,8,2022-02-10,153.84
V003648,P0259,C0249,5,2023-04-25,219.0
V000230,P0116,C0299,5,2023-09-20,204.4
V001368,P0475,C0044,8,2023-09-14,580.88
V003577,P0428,C0027,4,2021-07-31,164.64
V004480,P0021,C0187,2,2023-12-24,70.24
V003878,P0211,C0109,3,2024-06-30,103.10999999999999
V003764,P0283,C0205,7,2020-10-30,88.69
V004607,P0031,C0131,4,2023-03-02,268.68
V003549,P0318,C0164,9,2020-04-18,634.59
V003236,P0514,C0227,10,2022-10-06,236.8
V001507,P0289,C0244,4,2020-07-02,110.56
V005766,P0354,C0190,6,2022-08-03,27.48
V004710,P0341,C0038,3,2023-03-12,241.98
V007442,P0087,C0045,7,2023-01-18,359.8
V000099,P0242,C0181,1,2024-06-07,89.7
V000837,P0253,C0291,5,2020-10-07,332.2
V004359,P0590,C0086,7,2023-01-18,696.64
V000726,P0108,C0283,2,2024-02-05,22.08
V003631,P0169,C0088,10,2024-05-22,71.3
V001543,P0524,C0185,3,2022-07-12,57.69
V004094,P0458,C0092,1,2022-09-14,11.85
V005811,P0089,C0144,7,2020-11-24,664.09
V007485,P0474,C0223,6,2021-05-03,10.92
V006015,P0278,C0127,10,2022-03-25,258.9
V004819,P0509,C0243,10,2022-09-27,607.2
V003063,P0036,C0148,4,2020-04-05,25.92
V001489,P0398,C0033,9,2021-09-02,255.96
V005173,P0597,C0096,9,2023-09-07,308.07
V000097,P0395,C0279,9,2022-08-30,504.18
V007235,P0589,C0167,9,2020-11-10,724.68
V007761,P0347,C0106,10,2024-02-29,216.6
V005327,P0259,C0089,7,2023-12-08,306.59999999999997
V000976,P0224,C0184,4,2022-09-12,62.48
V004431,P0369,C0060,9,2023-09-02,338.49
V000368,P0372,C0109,9,2020-11-04,802.17
V000242,P0486,C0251,2,2022-06-13,100.12
V003205,P0092,C0295,7,2023-01-23,168.35
V006924,P0037,C0226,8,2021-12-22,569.52
V007541,P0440,C0264,8,2023-09-05,457.04
V001740,P0310,C0195,7,2022-10-25,65.38
V007618,P0360,C0213,3,2020-10-12,179.91
V002627,P0326,C0099,3,2022-02-25,27.150000000000002
V005847,P0352,C0030,3,2022-09-19,143.57999999999998
V007084,P0480,C0251,2,2023-04-23,68.1
V007787,P0254,C0148,7,2020-08-28,508.96999999999997
V006503,P0091,C0278,1,2024-03-10,71.67
V000925,P0323,C0076,3,2022-08-07,190.85999999999999
V000230,P0316,C0299,6,2023-09-20,111.84
V002314,P0417,C0211,3,2022-02-01,182.07
V007427,P0210,C0049,9,2021-05-23,603.4499999999999
V006478,P0029,C0138,7,2022-12-27,78.19
V002519,P0100,C0078,2,2020-02-16,53.24
V006105,P0508,C0038,1,2022-01-08,73.52
V006089,P0479,C0260,5,2023-04-06,57.0
V001707,P0210,C0209,7,2022-12-05,469.34999999999997
V000644,P0364,C0038,10,2021-08-03,297.5
V003212,P0077,C0188,4,2022-06-26,5.32
V007046,P0320,C0279,2,2023-10-19,7.26
V001671,P0278,C0009,10,2021-06-07,258.9
V001600,P0006,C0035,8,2023-07-19,305.2
V000396,P0542,C0079,6,2022-11-22,276.71999999999997
V003945,P0046,C0132,2,2022-01-21,15.42
V003842,P0215,C0071,3,2023-02-07,171.27
V003220,P0278,C0002,2,2022-12-04,51.78
V003982,P0077,C0003,8,2022-01-12,10.64
V005163,P0418,C0234,7,2023-05-26,234.92000000000002
V005917,P0493,C0158,10,2023-02-04,613.2
V005369,P0226,C0282,5,2021-06-21,454.20000000000005
V005857,P0417,C0032,3,2023-08-07,182.07
V005909,P0138,C0032,3,2022-07-02,125.58
V004304,P0471,C0140,9,2023-12-16,594.4499999999999
V003737,P0598,C0004,9,2022-04-15,280.44
V007378,P0403,C0150,7,2024-03-15,459.62
V000920,P0036,C0185,7,2021-11-27,45.36
V007073,P0158,C0138,10,2020-04-08,110.9
V002916,P0401,C0283,4,2020-08-13,321.92
V005550,P0452,C0050,6,2022-03-24,106.85999999999999
V001060,P0058,C0142,9,2023-07-19,296.18999999999994
V001477,P0564,C0145,3,2023-07-13,275.19
V000157,P0247,C0104,10,2021-03-10,532.0
V003404,P0299,C0276,10,2023-01-23,561.9
V002262,P0296,C0223,7,2021-02-26,685.16
V003131,P0029,C0174,4,2022-01-02,44.68
V005597,P0281,C0282,7,2022-05-04,109.27
V002330,P0413,C0166,4,2021-03-09,384.52
V000013,P0239,C0003,1,2023-08-28,44.7
V004480,P0347,C0187,6,2023-12-24,129.96
V007336,P0286,C0134,10,2020-07-15,296.0
V002580,P0232,C0003,6,2023-03-14,219.89999999999998
V001716,P0551,C0106,5,2023-08-07,360.4
V000811,P0531,C0264,4,2022-01-27,214.24
V005204,P0574,C0017,3,2024-01-14,269.70000000000005
V007303,P0013,C0065,5,2023-07-16,39.900000000000006
V001742,P0465,C0222,3,2022-06-08,116.82
V006504,P0010,C0099,6,2023-07-02,194.39999999999998
V004391,P0297,C0137,5,2021-01-21,384.45
V004125,P0442,C0264,1,2020-01-29,66.37
V001121,P0133,C0148,2,2023-01-10,65.08
V005628,P0013,C0092,9,2021-06-01,71.82000000000001
V004353,P0283,C0269,5,2021-11-15,63.35
V003451,P0001,C0178,4,2021-06-17,235.64
V005309,P0101,C0070,10,2022-09-30,860.3
V007718,P0180,C0132,4,2020-09-14,319.24
V005638,P0061,C0210,3,2023-06-15,227.04000000000002
V002910,P0489,C0001,10,2020-06-19,218.79999999999998
V004855,P0040,C0234,10,2020-11-28,355.7
V003524,P0415,C0036,8,2020-06-19,744.4
V004692,P0208,C0276,5,2023-02-22,490.45000000000005
V003995,P0136,C0048,8,2022-06-10,521.6
V002924,P0305,C0007,7,2023-12-27,385.91
V005900,P0359,C0214,3,2022-12-15,76.62
V002295,P0056,C0229,3,2023-07-22,104.64000000000001
V002663,P0194,C0143,4,2021-09-10,173.52
V003479,P0221,C0164,4,2020-04-15,330.24
V001475,P0211,C0041,1,2022-01-11,34.37
V001593,P0455,C0009,8,2022-06-26,686.24
V004109,P0087,C0082,7,2023-08-28,359.8
V002868,P0151,C0011,7,2021-11-18,362.59999999999997
V003836,P0099,C0113,9,2024-01-19,464.49
V005444,P0495,C0069,5,2024-06-28,434.6
V006781,P0270,C0200,1,2021-06-02,20.62
V004752,P0416,C0060,1,2022-08-15,48.41
V006686,P0381,C0046,1,2023-11-03,17.28
V001224,P0115,C0092,2,2021-08-25,185.26
V006673,P0127,C0065,5,2024-02-20,345.0
V005771,P0437,C0185,9,2022-04-19,180.09
V007634,P0149,C0297,6,2022-11-26,150.3
V003649,P0282,C0226,7,2023-09-10,81.89999999999999
V006495,P0385,C0126,9,2023-01-07,305.73
V000521,P0491,C0203,8,2023-10-10,377.28
V000978,P0078,C0173,6,2020-11-08,369.42
V003669,P0273,C0125,5,2024-05-06,311.3
V002745,P0316,C0096,6,2023-12-22,111.84
V002186,P0588,C0106,2,2023-01-19,46.58
V001147,P0592,C0153,6,2021-12-22,513.96
V000732,P0477,C0138,5,2022-06-09,205.0
V003367,P0081,C0216,7,2020-12-02,417.06
V006645,P0161,C0134,10,2023-05-10,213.1
V003726,P0269,C0059,9,2022-11-15,667.6200000000001
V000408,P0395,C0243,1,2020-05-09,56.02
V001046,P0165,C0160,5,2023-02-01,466.0
V004090,P0012,C0212,3,2024-06-29,136.62
V006587,P0314,C0050,10,2022-03-19,652.9000000000001
V001830,P0286,C0165,2,2020-01-25,59.2
V003322,P0100,C0056,3,2021-11-17,79.86
V004415,P0097,C0276,10,2020-01-14,479.20000000000005
V001954,P0391,C0033,5,2022-03-07,474.85
V000407,P0097,C0223,10,2023-11-30,479.20000000000005
V000341,P0402,C0004,8,2021-08-22,329.44
V004128,P0581,C0247,6,2020-10-14,7.26
V005814,P0191,C0076,4,2021-10-28,300.16
V005390,P0102,C0030,5,2022-12-18,246.4
V002940,P0376,C0117,1,2022-10-18,32.75
V003227,P0343,C0071,5,2022-03-29,11.399999999999999
V007426,P0514,C0133,5,2023-05-06,118.4
V002713,P0483,C0117,8,2024-06-09,622.64
V005736,P0191,C0152,4,2021-09-10,300.16
V000619,P0407,C0229,10,2021-06-01,823.9
V005501,P0155,C0187,1,2024-04-14,27.07
V000787,P0064,C0255,5,2020-07-28,19.15
V000838,P0589,C0195,9,2021-11-10,724.68
V001070,P0501,C0251,1,2024-06-03,36.91
V006494,P0521,C0163,1,2024-04-27,20.31
V005066,P0147,C0048,1,2021-04-25,58.79
V002855,P0110,C0031,5,2020-06-23,141.75
V000601,P0504,C0282,10,2024-05-23,366.5
V002982,P0303,C0161,8,2023-11-02,580.56
V002807,P0544,C0099,10,2023-05-07,802.2
V000623,P0469,C0120,7,2023-12-04,362.53
V005183,P0410,C0250,7,2020-01-15,526.26
V000023,P0415,C0245,5,2021-04-08,465.25
V004142,P0232,C0251,6,2021-06-16,219.89999999999998
V002409,P0057,C0039,3,2024-03-03,222.93
V000004,P0082,C0026,2,2022-04-23,70.64
V003238,P0401,C0112,3,2022-06-19,241.44
V006508,P0257,C0265,1,2023-07-03,65.13
V007821,P0335,C0038,4,2023-01-20,304.48
V005628,P0450,C0092,9,2021-06-01,540.1800000000001
V002368,P0515,C0240,9,2020-09-16,726.39
V005230,P0292,C0059,3,2021-07-22,117.35999999999999
V003274,P0398,C0275,5,2022-04-01,142.20000000000002
V007476,P0236,C0033,7,2021-06-11,527.4499999999999
V001128,P0503,C0226,5,2023-12-01,144.95
V005165,P0078,C0246,9,2020-11-17,554.13
V000645,P0411,C0237,5,2023-07-08,361.34999999999997
V001638,P0481,C0218,2,2020-03-06,152.88
V006775,P0345,C0279,3,2021-10-03,217.82999999999998
V002855,P0445,C0031,7,2020-06-23,412.37
V005130,P0264,C0182,4,2024-02-03,241.8
V002522,P0544,C0048,6,2020-10-07,481.32
V007016,P0558,C0277,4,2024-04-20,134.16
V003914,P0224,C0139,3,2020-08-05,46.86
V005184,P0233,C0116,5,2024-02-24,96.4
V004374,P0578,C0216,3,2020-11-09,268.65
V002379,P0135,C0165,10,2023-12-18,366.3
V002803,P0150,C0114,4,2022-09-14,391.68
V003933,P0209,C0003,9,2020-07-27,380.79
V002955,P0382,C0291,3,2024-05-12,198.27
V002390,P0455,C0227,5,2022-11-05,428.9
V007076,P0485,C0212,8,2023-08-25,10.56
V004220,P0573,C0240,7,2023-08-28,437.92
V002191,P0161,C0205,6,2023-02-11,127.85999999999999
V002735,P0378,C0281,5,2023-03-22,123.05
V005416,P0335,C0082,1,2022-05-26,76.12
V003914,P0555,C0139,1,2020-08-05,64.37
V002472,P0426,C0022,7,2023-08-04,389.41
V004356,P0411,C0197,7,2020-07-25,505.89
V006824,P0112,C0005,6,2021-11-15,227.76
V004869,P0289,C0240,4,2020-01-31,110.56
V001449,P0406,C0050,7,2021-12-28,670.25
V000630,P0533,C0059,6,2022-06-27,126.53999999999999
V007320,P0452,C0138,8,2020-05-24,142.48
V006058,P0254,C0152,3,2021-10-01,218.13
V006273,P0103,C0078,3,2023-10-04,145.10999999999999
V001535,P0399,C0065,8,2024-03-04,385.2
V006919,P0436,C0244,10,2024-01-27,981.9
V000334,P0016,C0119,7,2020-11-16,46.97
V005815,P0499,C0072,10,2021-05-09,367.29999999999995
V003674,P0385,C0089,1,2021-06-12,33.97
V000246,P0036,C0036,7,2021-07-25,45.36
V006081,P0188,C0276,2,2022-03-04,4.42
V005634,P0263,C0283,8,2021-09-01,560.72
V006311,P0213,C0090,5,2020-02-07,412.35
V007673,P0102,C0300,7,2021-12-20,344.96000000000004
V005825,P0138,C0277,7,2021-01-02,293.02
V001116,P0597,C0260,9,2023-08-05,308.07
V003911,P0333,C0270,4,2021-02-02,143.6
V006775,P0205,C0279,4,2021-10-03,357.24
V004751,P0137,C0161,9,2020-07-04,303.93
V002496,P0232,C0042,9,2023-10-29,329.84999999999997
V002439,P0010,C0228,5,2021-07-26,162.0
V004486,P0056,C0271,10,2022-03-20,348.8
V000151,P0024,C0245,9,2023-06-21,770.1299999999999
V002714,P0317,C0015,8,2021-05-28,472.64
V007870,P0081,C0045,3,2024-04-05,178.74
V003225,P0594,C0122,3,2021-12-19,98.22
V002804,P0513,C0031,3,2022-07-31,71.31
V003589,P0360,C0129,2,2022-04-11,119.94
V000611,P0578,C0028,8,2021-02-02,716.4
V002982,P0090,C0161,2,2023-11-02,134.72
V007296,P0025,C0113,5,2024-02-05,419.0
V005846,P0208,C0099,9,2020-12-03,882.8100000000001
V001696,P0514,C0152,10,2023-03-30,236.8
V000511,P0066,C0133,4,2023-02-08,68.6
V003992,P0043,C0036,9,2021-09-23,66.42
V003534,P0154,C0210,6,2020-08-19,206.94
V006031,P0588,C0041,1,2023-04-02,23.29
V007674,P0269,C0243,9,2021-02-20,667.6200000000001
V001946,P0485,C0070,4,2021-12-08,5.28
V006162,P0112,C0093,3,2021-03-11,113.88
V004067,P0273,C0167,5,2021-11-01,311.3
V004680,P0289,C0131,2,2021-02-06,55.28
V003735,P0325,C0168,5,2021-09-26,35.8
V001131,P0245,C0270,6,2022-07-25,332.70000000000005
V007509,P0460,C0275,10,2020-05-31,775.6
V004631,P0413,C0109,5,2020-02-21,480.65
V001228,P0161,C0092,8,2021-07-27,170.48
V003843,P0388,C0042,6,2020-01-24,334.08
V005807,P0570,C0238,1,2022-07-04,57.53
V005326,P0287,C0214,7,2022-03-09,480.69
V006000,P0111,C0059,1,2020-02-06,75.06
V003798,P0518,C0154,10,2020-01-02,759.0999999999999
V006719,P0411,C0247,8,2021-08-12,578.16
V001724,P0581,C0021,3,2024-01-18,3.63
V007842,P0394,C0139,6,2020-09-09,151.85999999999999
V007993,P0043,C0017,1,2021-06-19,7.38
V000735,P0526,C0184,2,2021-02-24,48.52
V000112,P0369,C0264,9,2023-09-20,338.49
V004073,P0209,C0294,10,2022-08-05,423.1
V001124,P0075,C0244,10,2020-07-23,302.5
V004648,P0443,C0263,3,2021-06-28,299.15999999999997
V004196,P0043,C0031,3,2023-10-02,22.14
V005062,P0469,C0168,10,2023-09-19,517.9
V000936,P0247,C0030,9,2024-04-28,478.8
V005544,P0318,C0199,8,2022-05-20,564.08
V000165,P0508,C0260,6,2024-04-18,441.12
V006873,P0147,C0035,1,2023-03-31,58.79
V007015,P0450,C0081,5,2024-02-15,300.1
V002726,P0244,C0099,5,2022-04-10,394.05
V006266,P0334,C0161,10,2020-11-12,198.29999999999998
V003342,P0340,C0192,5,2023-03-24,80.3
V005131,P0501,C0228,4,2022-04-19,147.64
V000060,P0196,C0291,8,2022-05-12,277.36
V006216,P0554,C0092,1,2020-09-22,42.83
V002957,P0279,C0021,6,2020-10-23,15.600000000000001
V007114,P0196,C0071,3,2020-07-04,104.01
V005516,P0336,C0190,10,2023-03-12,399.09999999999997
V004271,P0342,C0164,9,2022-11-01,762.03
V006552,P0356,C0086,10,2020-04-09,341.59999999999997
V007642,P0142,C0140,6,2020-01-13,509.09999999999997
V000515,P0147,C0160,4,2020-05-05,235.16
V004441,P0300,C0073,6,2020-03-12,35.88
V004756,P0425,C0033,8,2023-01-24,239.52
V000846,P0024,C0007,7,2024-04-27,598.99
V004800,P0364,C0154,1,2020-11-30,29.75
V005897,P0177,C0246,10,2023-04-04,819.4
V005207,P0343,C0192,7,2020-09-21,15.959999999999999
V007853,P0402,C0199,10,2021-03-18,411.8
V000995,P0373,C0027,1,2022-01-01,95.81
V001570,P0071,C0022,8,2024-05-24,512.24
V006536,P0526,C0154,8,2020-04-16,194.08
V000397,P0329,C0138,2,2024-05-25,31.54
V003842,P0160,C0071,3,2023-02-07,290.90999999999997
